Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,Unnamed: 7,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE,7623,1,ALPSINDUS,ALPSINDUS-BE,BE,0.01,,Alps Industries Limited,BE,24-APR-1996,10,1,INE093B01015,10
NSE,14601,1,ALPHAGEO,ALPHAGEO-BE,BE,0.05,,Alphageo (India) Limited,BE,11-MAY-2007,10,1,INE137C01018,10
NSE,14848,1,ALPA,ALPA-EQ,EQ,0.01,,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10
NSE,17675,1,ALOKINDS,ALOKINDS-EQ,EQ,0.01,,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1
NSE,16723,1,ALMONDZ,ALMONDZ-BE,BE,0.01,,Almondz Global Securities Limited,BE,16-JUN-2008,1,1,INE326B01035,1
NSE,11798,1,ALLSEC,ALLSEC-EQ,EQ,0.05,,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
NSE,13501,1,ALLCARGO,ALLCARGO-EQ,EQ,0.01,,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
NSE,4487,1,ALKYLAMINE,ALKYLAMINE-EQ,EQ,0.05,,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2
NSE,11703,1,ALKEM,ALKEM-EQ,EQ,0.05,,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
NSE,16959,1,ALKALI,ALKALI-EQ,EQ,0.01,,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10
NSE,13656,1,ALICON,ALICON-EQ,EQ,0.05,,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
NSE,79,1,ALEMBICLTD,ALEMBICLTD-EQ,EQ,0.01,,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
NSE,17260,1,ALBERTDAVD,ALBERTDAVD-BE,BE,0.05,,Albert David Limited,BE,14-JUN-2016,10,1,INE155C01010,10
NSE,9921,1,ALANKIT,ALANKIT-EQ,EQ,0.01,,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1
NSE,1467,1,AKZOINDIA,AKZOINDIA-EQ,EQ,0.05,,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10
NSE,24715,1,AKUMS,AKUMS-EQ,EQ,0.05,,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2
NSE,8591,1,AKSHOPTFBR,AKSHOPTFBR-EQ,EQ,0.01,,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5
NSE,20178,1,AKSHARCHEM,AKSHARCHEM-EQ,EQ,0.05,,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10
NSE,9560,1,AKSHAR,AKSHAR-BE,BE,0.01,,Akshar Spintex Limited,BE,23-MAY-2022,1,1,INE256Z01025,1
NSE,25125,1,AKSH-RE,AKSH-RE-BE,BE,0.01,,Akshar Spintex Ltd-RE,BE,09-SEP-2024,1,1,INE256Z20017,1
NSE,14890,1,AKI,AKI-EQ,EQ,0.01,,AKI India Limited,EQ,06-APR-2023,2,1,INE642Z01026,2
NSE,2176,1,AKG,AKG-EQ,EQ,0.01,,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10
NSE,13510,1,AKASH,AKASH-EQ,EQ,0.01,,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
NSE,3409,1,AJOONI,AJOONI-BE,BE,0.01,,Ajooni Biotech Limited,BE,07-MAY-2021,2,1,INE820Y01021,2
NSE,17307,1,AJMERA,AJMERA-EQ,EQ,0.05,,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10
NSE,8124,1,AJANTPHARM,AJANTPHARM-EQ,EQ,0.05,,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2
NSE,6068,1,AIROLAM,AIROLAM-EQ,EQ,0.01,,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10
NSE,9898,1,AIRAN,AIRAN-BE,BE,0.01,,Airan Limited,BE,03-MAY-2019,2,1,INE645W01026,2
NSE,23553,1,AIIL,AIIL-EQ,EQ,0.05,,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1,1,INE206F01022,1
NSE,13086,1,AIAENG,AIAENG-EQ,EQ,0.05,,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
